epoch,train_loss,valid_loss,valid_accuracy,valid_precision,valid_recall,valid_auc,valid_baseline_accuracy
1,0.6827891892947636,0.6904228844543532,0.540180795786177,0.5899373785359534,0.6724095495938961,0.5139799051316907,0.5784041285514832
2,0.6497828088485472,0.7054911838306533,0.5396113602391629,0.6041719024880623,0.5916810238739847,0.5440526360339593,0.5784041285514832
3,0.6010588710212389,0.7467329781694729,0.5237383443661471,0.5901268684838588,0.5781442284026581,0.5196121993676417,0.5784041285514832
4,0.5609014976880564,0.8212851249956985,0.5176880916791231,0.5867386276021588,0.5619000738370662,0.5123732144770846,0.5784041285514832
5,0.5190985416330565,0.8495064787749625,0.5097871734643035,0.5857202158572021,0.5209205020920502,0.517332689276098,0.5784041285514832
6,0.5013044904209715,0.8960420795925759,0.5139155811801551,0.5839482200647249,0.5551316761014029,0.5043972198135984,0.5784041285514832
7,0.48658099751726064,0.9106831776814933,0.5156238878211973,0.5883848521343503,0.541102633522028,0.5154588903646514,0.5784041285514832
